0 [main] INFO WebdriverTest  - fin del setup de los logs
14428 [Forwarding setTimeout on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 1][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
14430 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
14430 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
14431 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
14431 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 2][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
14431 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Opening connection {}->http://127.0.0.1:7055
14431 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connecting to /127.0.0.1:7055
14432 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.HttpClientConnectionOperator  - Connection established 127.0.0.1:60365<->127.0.0.1:7055
14432 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/url HTTP/1.1
14432 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
14432 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
14432 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 >> POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/url HTTP/1.1
14432 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 >> Content-Type: application/json; charset=utf-8
14432 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 >> Content-Length: 55
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 >> Host: 127.0.0.1:7055
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 >> Connection: Keep-Alive
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 >> User-Agent: Apache-HttpClient/4.3.5 (java 1.5)
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 >> Accept-Encoding: gzip,deflate
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "POST /hub/session/f88d9dba-800a-4b45-a0fb-e6c8af7c293a/url HTTP/1.1[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "Content-Type: application/json; charset=utf-8[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "Content-Length: 55[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "Host: 127.0.0.1:7055[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "Connection: Keep-Alive[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "User-Agent: Apache-HttpClient/4.3.5 (java 1.5)[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "Accept-Encoding: gzip,deflate[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "[\r][\n]"
14433 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 >> "{"url":"https://flowbanc.herokuapp.com/#/pages/signin"}"
70066 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "HTTP/1.1 200 OK[\r][\n]"
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "content-type: application/json; charset=UTF-8[\r][\n]"
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "connection: close[\r][\n]"
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "content-length: 87[\r][\n]"
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "server: httpd.js[\r][\n]"
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "date: Tue, 03 Feb 2015 20:38:20 GMT[\r][\n]"
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "[\r][\n]"
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 << HTTP/1.1 200 OK
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 << content-type: application/json; charset=UTF-8
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 << connection: close
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 << content-length: 87
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 << server: httpd.js
70067 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.headers  - http-outgoing-2 << date: Tue, 03 Feb 2015 20:38:20 GMT
70068 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.wire  - http-outgoing-2 << "{"name":"get","sessionId":"f88d9dba-800a-4b45-a0fb-e6c8af7c293a","status":0,"value":""}"
70068 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-2: Shutdown connection
70068 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Connection discarded
70068 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-2: Close connection
70068 [Forwarding get on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 2][route: {}->http://127.0.0.1:7055][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000]
70073 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: best-match
70074 [Forwarding findElement on session f88d9dba-800a-4b45-a0fb-e6c8af7c293a to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
